# ipa-fr.tsv —— 由 scripts/build-ipa.ts 生成，可手工修正
# 数据源：open-dict-data/ipa-dict fr_FR（MIT）
# 已按标准加拿大法语调整：â → /ɑ/，闭音节 ê / aî → /ɛː/（见 toCanadianStandard）
# 只收能归约成单个词的条目，多词语块手写在 ipa-fr-manual.tsv
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
dénonce	/denɔ̃s/
la collision / l'accrochage	/kɔlizjɔ̃/ / /akʁɔʃaʒ/
le piéton / le cycliste	/pjetɔ̃/ / /siklist/
l'escale	/ɛskal/
l'enregistrement	/ɑ̃ʁəʒistʁəmɑ̃/
l'indemnisation	/ɛ̃dɛmnizasjɔ̃/
l'hébergement	/ebɛʁʒəmɑ̃/
le forfait	/fɔʁfɛ/
la faune	/fon/
la maternelle	/matɛʁnɛl/
le primaire / le secondaire	/pʁimɛʁ/ / /səgɔ̃dɛʁ/
le secondaire 5	/səgɔ̃dɛʁ/
le baccalauréat	/bakalɔʁea/
la maîtrise / le doctorat	/metʁiz/ / /dɔktɔʁa/
la session	/sesjɔ̃/
le trimestre	/tʁimɛstʁ/
le plagiat	/plaʒja/
la bibliographie / la référence	/biblijɔgʁafi/ / /ʁefeʁɑ̃s/
le brouillon / réviser	/bʁujɔ̃/ / /ʁevize/
réussir / échouer	/ʁeysiʁ/ / /eʃwe/
le registraire	/ʁeʒistʁɛʁ/
l'atelier	/atəlje/
le député	/depyte/
la circonscription	/siʁkɔ̃skʁipsjɔ̃/
les élections / le scrutin	/elɛksjɔ̃/ / /skʁytɛ̃/
le recensement	/ʁəsɑ̃smɑ̃/
la solidarité	/sɔlidaʁite/
la xénophobie / le racisme	/gzenɔfɔbi/ / /ʁasism/
la Loi 21	/lwa/
le clivage	/klivaʒ/
la déqualification	/dekalifikasjɔ̃/
le jumelage	/ʒymlaʒ/
le foyer / le ménage	/fwaje/ / /menaʒ/
réutilisable / jetable	/ʁeytilizabl/ / /ʒətabl/
la consigne	/kɔ̃siɲ/
l'inondation	/inɔ̃dasjɔ̃/
la sécheresse	/sɛʃʁɛs/
l'adaptation / l'atténuation	/adaptasjɔ̃/ / /atenɥasjɔ̃/
la déforestation	/defɔʁɛstasjɔ̃/
l'hydroélectricité	/idʁɔelɛktʁisite/
la surconsommation	/syʁkɔ̃sɔmasjɔ̃/
planter / figer	/plɑ̃te/ / /fiʒe/
la compatibilité	/kɔ̃patibilite/
le chargeur	/ʃaʁʒœʁ/
le consentement	/kɔ̃sɑ̃tmɑ̃/
la surveillance	/syʁvɛjɑ̃s/
l'algorithme	/algɔʁitm/
le titre / la manchette	/titʁ/ / /mɑ̃ʃɛt/
la productivité	/pʁɔdyktivite/
le chariot / le panier	/ʃaʁjo/ / /panje/
l'emballage	/ɑ̃balaʒ/
les précipitations	/pʁesipitasjɔ̃/
la motoneige	/mɔtɔnɛʒ/
le festival	/fɛstival/
